INFO 2024-05-16 20:47:14,361 autoreload Watching for file changes with StatReloader
DEBUG 2024-05-16 20:47:14,744 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1715804228.1201904
DEBUG 2024-05-16 20:47:14,745 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1715804227.9473107
DEBUG 2024-05-16 20:47:14,745 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\weakref.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,746 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\asyncio\tasks.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,746 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\importlib\resources\_legacy.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,747 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\db\backends\postgresql\operations.py first seen with mtime 1715804227.8793082
DEBUG 2024-05-16 20:47:14,748 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\template\response.py first seen with mtime 1715804228.1077604
DEBUG 2024-05-16 20:47:14,748 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1715804228.1241834
DEBUG 2024-05-16 20:47:14,749 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\contextlib.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,749 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\contrib\admin\sites.py first seen with mtime 1715804222.9293652
DEBUG 2024-05-16 20:47:14,750 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1715804222.1813817
DEBUG 2024-05-16 20:47:14,750 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1715804223.94418
DEBUG 2024-05-16 20:47:14,751 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,751 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\re\_constants.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,752 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\utils\hashable.py first seen with mtime 1715804228.1762407
DEBUG 2024-05-16 20:47:14,752 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\core\serializers\base.py first seen with mtime 1715804227.8193088
DEBUG 2024-05-16 20:47:14,752 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1715804223.94418
DEBUG 2024-05-16 20:47:14,753 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\calendar.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,754 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1715804227.8433094
